,Date,Price,Deviation,Moving Average,Moving Standard Deviation,Moving Deviation,Moving Variation Coefficient
10417,2022-04-06,171.38976521718703,11.800845389100468,,,,
10418,2022-04-07,171.1155472304716,11.621967714013905,,,,
10419,2022-04-08,170.00371902291,10.896700756705702,,,,
10420,2022-04-11,166.78791514713163,8.798969941438134,169.0243833322354,1.8106506291869506,-1.3231630496221118,-0.7
10421,2022-04-12,167.77510503884724,9.44293292437075,168.05643887211343,2.120039708522696,-0.16740437626449783,-0.1
10422,2022-04-13,168.42323992609897,9.865723796562493,167.23878012186373,1.8270596182557466,0.708244704590737,0.4
10423,2022-04-14,167.67539174300126,9.377888020680102,166.81143303349168,1.3636295484848178,0.5179253566727126,0.4
10424,2022-04-18,164.6141539963334,7.380983668889969,167.01870031400787,1.465888746924733,-1.4396868812616366,-1.0
10425,2022-04-19,165.39193597872344,7.888345838675445,166.51015447254696,1.7497447856133306,-0.6715617419043856,-0.4
10426,2022-04-20,167.0122894043057,8.945333591588568,165.35773779515202,2.6858560110174916,1.0005891657778798,0.4
10427,2022-04-21,168.23878611074508,9.745401019612087,164.12910933557956,3.337104736268652,2.5039292492368617,0.8
10428,2022-04-22,164.21528414862098,7.120793183664893,163.06073597015077,4.23285550164579,0.7080479378441874,0.2
10429,2022-04-25,160.35632318433431,4.603518610214907,162.47099149052548,4.140502397775378,-1.3015666900232343,-0.3
10430,2022-04-26,159.07499252599393,3.7676819390817493,161.64976869500995,3.6280345100870597,-1.5928115392939013,-0.4
10431,2022-04-27,157.1355404383321,2.502539981990692,159.80219529918335,2.941435406837237,-1.668722294996457,-0.6
10432,2022-04-28,161.26372462134617,5.195434047152777,159.5485148115434,8.588782680440788,1.0750396591461482,0.1
10433,2022-04-29,161.26372983569726,5.19543744857444,158.46675645653005,9.075851146623933,1.7650221672420403,0.2
10434,2022-05-02,155.30577233995876,1.3089470039916102,157.31175284286658,9.60029851598168,-1.275162514342793,-0.1
10435,2022-05-03,158.06289483161225,3.107471116662791,156.32030088482446,9.77856154376041,1.1147585674567768,0.1
10436,2022-05-04,162.40545364337603,5.940205881727933,155.40924652197484,10.039424383912579,4.501795921397725,0.4
10437,2022-05-05,159.0600420132145,3.7579294315990435,154.47910002686936,10.146322072542095,2.9654121402496294,0.3
10438,2022-05-06,156.59247935242772,2.14829077448933,153.54981760389944,10.101736475022488,1.9815469637203955,0.2
10439,2022-05-09,153.446862054341,0.09634401587737028,152.86948582226168,9.80039294263788,0.37769227061483995,0.0
10440,2022-05-10,154.62022331074752,0.8617501662786409,152.33380313622246,9.572860519650511,1.5009276519410875,0.2
10441,2022-05-11,150.4210518009932,-1.8774502995685358,151.8041495493473,9.259918309155017,-0.9111066808516209,-0.1
10442,2022-05-12,142.3023293201233,-7.17344936748562,151.19901425313392,8.814255273888088,-5.884089242880904,-0.7
10443,2022-05-13,145.40303514741964,-5.150799226414785,150.45812756822266,8.248560500256648,-3.359800166668215,-0.4
10444,2022-05-16,145.6476946967358,-4.991203089437751,149.8686668386828,7.8539671156584685,-2.8164473808860935,-0.4
10445,2022-05-17,148.01939043437358,-3.4441002730145085,149.40167992382248,7.62195124969569,-0.9252168316672981,-0.1
10446,2022-05-18,143.43077183089832,-6.437344580144477,149.04780658386127,7.400580953029513,-3.7686128241025436,-0.5
10447,2022-05-19,138.9370145667865,-9.368709008262215,148.64457292261963,7.273177667876769,-6.530718320194995,-0.9
10448,2022-05-20,136.4654388205683,-10.980965478304233,147.89302579867962,7.086746098051674,-7.726927565649513,-1.1
10449,2022-05-23,140.26016028164582,-8.50559557026444,146.9554036235219,7.117450071398977,-4.5559694824344845,-0.6
10450,2022-05-24,139.45628426164302,-9.029979383442837,146.1952426543761,7.406782063653315,-4.609560660373077,-0.6
10451,2022-05-25,139.87071018568335,-8.759641369967213,145.41191590151087,7.350838391062111,-3.8106957613986996,-0.5
10452,2022-05-26,140.54476723700054,-8.319940970808318,144.34952355119339,7.1093214347564215,-2.635794161692187,-0.4
10453,2022-05-27,147.2654382938685,-3.9359177778962797,143.42294428736557,6.93527005060436,2.679134796454897,0.4
10454,2022-05-31,148.5436734151578,-3.1021003852118993,142.7032777868075,6.635253406736619,4.092684988690733,0.6
10455,2022-06-01,149.5023283724684,-2.4767512896695782,142.10993512531465,6.434234218868981,5.201883485932944,0.8
10456,2022-06-02,148.85823051790388,-2.8969087276727645,141.51992123980742,6.047422819789442,5.185354269425854,0.9
10457,2022-06-03,146.01218556340694,-4.753438675799637,141.1940408043941,5.809974813056263,3.4124278415459215,0.6
10458,2022-06-06,146.53146226242626,-4.4147044820299435,141.1850534937329,5.808409634420246,3.7868093232196665,0.7
10459,2022-06-07,146.3467157385249,-4.53521819840441,141.01079549637143,5.755681807461263,3.7840508759421687,0.7
